Role,City,Experience,Company_Size,Job_Type,ReactJS,NodeJS,Python,SQL,MongoDB,Git,PWA,Socket_io,Scikit_learn,TensorFlow,LLM,LangChain,Pandas,Agile,JIRA,BA,Project_Mgmt,IT_Support,Documentation,Risk_Mgmt,Stakeholder_Mgmt,Figma,User_Research,Wireframing,Prototyping,Adobe_XD,Design_Systems,Usability_Testing,Interaction_Design,Salary
AIEngineer,Peshawar,1Year,Small,Remote,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,120000
UIUXDesign,Lahore,Fresh,Large,Onsite,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,110000
FullStack,Peshawar,MoreThan1.5Years,Medium,Remote,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,185000
ITManagement,Peshawar,6Months,Small,Remote,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,56000
FullStack,Peshawar,1Year,Medium,Onsite,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,134000
AIEngineer,Karachi,Fresh,Large,Remote,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000
ITManagement,Lahore,MoreThan1.5Years,Medium,Remote,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,175000
AIEngineer,Karachi,6Months,Small,Onsite,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115000
ITManagement,Faisalabad,MoreThan1.5Years,Small,Onsite,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,97000
UIUXDesign,Rawalpindi,6Months,Large,Onsite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,165000
UIUXDesign,Rawalpindi,MoreThan1.5Years,Large,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,266000
FullStack,Islamabad,1Year,Small,Onsite,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,112000
FullStack,Karachi,6Months,Small,Remote,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91000
UIUXDesign,Faisalabad,1Year,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,121000
FullStack,Lahore,1Year,Large,Onsite,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,247000
FullStack,Faisalabad,6Months,Large,Onsite,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,152000
ITManagement,Karachi,Fresh,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,74000
UIUXDesign,Karachi,1Year,Small,Remote,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,115000
UIUXDesign,Rawalpindi,1Year,Large,Onsite,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,205000
ITManagement,Karachi,MoreThan1.5Years,Medium,Onsite,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,178000
ITManagement,Peshawar,6Months,Large,Onsite,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000
UIUXDesign,Karachi,Fresh,Medium,Remote,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,91000
UIUXDesign,Karachi,MoreThan1.5Years,Small,Onsite,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,149000
ITManagement,Islamabad,1Year,Large,Remote,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,194000
FullStack,Rawalpindi,1Year,Medium,Onsite,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158000
FullStack,Faisalabad,Fresh,Small,Onsite,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49000
UIUXDesign,Islamabad,6Months,Large,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,157000
ITManagement,Faisalabad,Fresh,Small,Onsite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,47000
ITManagement,Rawalpindi,MoreThan1.5Years,Large,Onsite,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,242000
ITManagement,Rawalpindi,Fresh,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,99000
ITManagement,Islamabad,MoreThan1.5Years,Medium,Remote,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,199000
UIUXDesign,Faisalabad,6Months,Small,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,66000
UIUXDesign,Rawalpindi,6Months,Small,Remote,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,82000
UIUXDesign,Islamabad,MoreThan1.5Years,Medium,Onsite,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,204000
ITManagement,Karachi,Fresh,Small,Onsite,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,70000
ITManagement,Rawalpindi,6Months,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,105000
ITManagement,Faisalabad,Fresh,Small,Onsite,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36000
FullStack,Rawalpindi,Fresh,Large,Onsite,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,132000
ITManagement,Islamabad,6Months,Large,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,146000
UIUXDesign,Islamabad,1Year,Medium,Onsite,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,167000
AIEngineer,Faisalabad,1Year,Large,Onsite,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,256000
